"","EXPSAMPLE_ACCESSION","TREATMENT_ACCESSION"
"728","ES789752","TRT1416"
"729","ES789753","TRT1416"
"730","ES789754","TRT1416"
"731","ES789755","TRT1416"
"732","ES789756","TRT1416"
"733","ES789757","TRT1416"
"734","ES789758","TRT1416"
"735","ES789759","TRT1416"
"736","ES789760","TRT1416"
"737","ES789761","TRT1416"
"738","ES789762","TRT1416"
"739","ES789763","TRT1416"
"740","ES789764","TRT1416"
"741","ES789765","TRT1416"
"742","ES789766","TRT1416"
"743","ES789767","TRT1416"
"744","ES789768","TRT1416"
"745","ES789769","TRT1416"
"746","ES789770","TRT1416"
"747","ES789771","TRT1416"
"748","ES789772","TRT1416"
"749","ES789773","TRT1416"
"750","ES789774","TRT1416"
"751","ES789775","TRT1416"
"752","ES789776","TRT1416"
"753","ES789777","TRT1416"
"754","ES789778","TRT1416"
"755","ES789779","TRT1416"
"756","ES789780","TRT1416"
"757","ES789781","TRT1416"
"758","ES789782","TRT1416"
"759","ES789783","TRT1416"
"760","ES789784","TRT1416"
"761","ES789785","TRT1416"
"762","ES789786","TRT1416"
"763","ES789787","TRT1416"
"764","ES789788","TRT1416"
"765","ES789789","TRT1416"
"766","ES789790","TRT1416"
"767","ES789791","TRT1416"
"768","ES789792","TRT1416"
"769","ES789793","TRT1416"
"770","ES789794","TRT1416"
"771","ES789795","TRT1416"
"772","ES789796","TRT1416"
"773","ES789797","TRT1416"
"774","ES789798","TRT1416"
"775","ES789799","TRT1416"
"776","ES789800","TRT1416"
"777","ES789801","TRT1416"
"778","ES789802","TRT1416"
"779","ES789803","TRT1416"
"780","ES789804","TRT1416"
"781","ES789805","TRT1416"
"782","ES789806","TRT1416"
"783","ES789807","TRT1416"
"784","ES789808","TRT1416"
"785","ES789809","TRT1416"
"786","ES789810","TRT1416"
"787","ES789811","TRT1416"
"788","ES789812","TRT1416"
"789","ES789813","TRT1416"
"790","ES789814","TRT1416"
"791","ES789815","TRT1416"
"792","ES789816","TRT1416"
"793","ES789817","TRT1416"
"794","ES789818","TRT1416"
"795","ES789819","TRT1416"
"796","ES789820","TRT1416"
"797","ES789821","TRT1416"
"798","ES789822","TRT1416"
"799","ES789823","TRT1416"
"800","ES789824","TRT1416"
"801","ES789825","TRT1416"
"802","ES798660","TRT1105"
"803","ES798661","TRT1105"
"804","ES798662","TRT1105"
"805","ES798663","TRT1105"
"806","ES798664","TRT1105"
"807","ES798665","TRT1105"
"808","ES798666","TRT1105"
"809","ES798667","TRT1105"
"810","ES798668","TRT1105"
"811","ES798669","TRT1105"
"812","ES798670","TRT1105"
"813","ES798671","TRT1105"
"814","ES798672","TRT1105"
"815","ES798673","TRT1105"
"816","ES798674","TRT1105"
"817","ES798675","TRT1105"
"818","ES798676","TRT1105"
"819","ES798677","TRT1105"
"820","ES798678","TRT1105"
"821","ES798679","TRT1105"
"822","ES798680","TRT1105"
"823","ES798681","TRT1105"
"824","ES798682","TRT1105"
"825","ES798683","TRT1105"
"826","ES798684","TRT1105"
"827","ES798685","TRT1105"
"828","ES798686","TRT1105"
"829","ES798687","TRT1105"
"830","ES798688","TRT1105"
"831","ES798689","TRT1105"
"832","ES798690","TRT1105"
"833","ES798691","TRT1105"
"834","ES798692","TRT1105"
"835","ES798693","TRT1105"
"836","ES798694","TRT1105"
"837","ES798695","TRT1105"
"838","ES798696","TRT1105"
"839","ES798697","TRT1105"
"840","ES798698","TRT1105"
"841","ES798699","TRT1105"
"842","ES798700","TRT1105"
"843","ES798701","TRT1105"
"844","ES798702","TRT1105"
"845","ES798703","TRT1105"
"846","ES798704","TRT1105"
"847","ES798705","TRT1105"
"848","ES798706","TRT1105"
"849","ES798707","TRT1105"
"850","ES798708","TRT1105"
"851","ES798709","TRT1105"
"852","ES798710","TRT1105"
"853","ES798711","TRT1105"
"854","ES798712","TRT1105"
"855","ES798713","TRT1105"
"856","ES798714","TRT1105"
"857","ES798715","TRT1105"
"858","ES798716","TRT1105"
"859","ES798717","TRT1105"
"860","ES798718","TRT1105"
"861","ES798719","TRT1105"
"862","ES798720","TRT1105"
"863","ES798721","TRT1105"
"864","ES798722","TRT1105"
"865","ES798723","TRT1105"
"866","ES798724","TRT1105"
"867","ES798725","TRT1105"
"868","ES798726","TRT1105"
"869","ES798727","TRT1105"
"870","ES798728","TRT1105"
"871","ES798729","TRT1105"
"872","ES798730","TRT1105"
"873","ES798731","TRT1105"
"874","ES798732","TRT1105"
"875","ES798733","TRT1105"
"876","ES798734","TRT1105"
"877","ES798735","TRT1105"
"878","ES798736","TRT1105"
"879","ES798737","TRT1105"
"880","ES798738","TRT1105"
"881","ES798739","TRT1105"
"882","ES798740","TRT1105"
"883","ES798741","TRT1105"
"884","ES798742","TRT1105"
"885","ES798743","TRT1105"
"886","ES798744","TRT1105"
"887","ES798745","TRT1105"
"888","ES798746","TRT1105"
"889","ES798747","TRT1105"
"890","ES798748","TRT1105"
"891","ES798749","TRT1105"
"892","ES798750","TRT1105"
"893","ES798751","TRT1105"
"894","ES798752","TRT1105"
"895","ES798753","TRT1105"
"896","ES798754","TRT1105"
"897","ES798755","TRT1105"
"898","ES798756","TRT1105"
"899","ES798757","TRT1105"
"900","ES798758","TRT1105"
"901","ES798759","TRT1105"
"902","ES798760","TRT1105"
"903","ES798761","TRT1105"
"904","ES798762","TRT1105"
"905","ES798763","TRT1105"
"906","ES798764","TRT1105"
"907","ES798765","TRT1105"
"908","ES798766","TRT1105"
"909","ES798767","TRT1105"
"910","ES798768","TRT1105"
"911","ES798769","TRT1105"
"912","ES798770","TRT1105"
"913","ES798771","TRT1105"
"914","ES798772","TRT1105"
"915","ES798773","TRT1105"
"916","ES798774","TRT1105"
"917","ES798775","TRT1105"
"918","ES798776","TRT1105"
"919","ES798777","TRT1105"
"920","ES798778","TRT1105"
"921","ES798779","TRT1105"
"922","ES798780","TRT1105"
"923","ES798781","TRT1105"
"924","ES798782","TRT1105"
