"","BIOSAMPLE_ACCESSION","EXPSAMPLE_ACCESSION"
"936","BS709742","ES786253"
"937","BS709742","ES786254"
"938","BS709744","ES786255"
"939","BS709744","ES786256"
"940","BS709744","ES786257"
"941","BS709748","ES786258"
"942","BS709748","ES786259"
"943","BS709748","ES786260"
"944","BS709750","ES786261"
"945","BS709750","ES786262"
"946","BS709750","ES786263"
"947","BS709752","ES786264"
"948","BS709752","ES786265"
"949","BS709752","ES786266"
"950","BS709754","ES786267"
"951","BS709754","ES786268"
"952","BS709754","ES786269"
"953","BS709758","ES786270"
"954","BS709758","ES786271"
"955","BS709758","ES786272"
"956","BS709760","ES786273"
"957","BS709760","ES786274"
"958","BS709760","ES786275"
"959","BS709762","ES786276"
"960","BS709762","ES786277"
"961","BS709762","ES786278"
"962","BS709764","ES786279"
"963","BS709764","ES786280"
"964","BS709764","ES786281"
"965","BS709768","ES786282"
"966","BS709768","ES786283"
"967","BS709768","ES786308"
"968","BS709770","ES786309"
"969","BS709770","ES786310"
"970","BS709770","ES786311"
"971","BS709771","ES786312"
"972","BS709771","ES786313"
"973","BS709771","ES786314"
"974","BS709777","ES786315"
"975","BS709777","ES786316"
"976","BS709777","ES786317"
"977","BS709776","ES786318"
"978","BS709776","ES786319"
"979","BS709776","ES786320"
"980","BS709779","ES786321"
"981","BS709779","ES786322"
"982","BS709779","ES786323"
"983","BS709783","ES786324"
"984","BS709783","ES786325"
"985","BS709783","ES786326"
"986","BS709785","ES786327"
"987","BS709785","ES786328"
"988","BS709785","ES786329"
"989","BS709787","ES786330"
"990","BS709787","ES786331"
"991","BS709787","ES786332"
"992","BS709789","ES786333"
"993","BS709789","ES786334"
"994","BS709789","ES786335"
"995","BS709793","ES786336"
"996","BS709793","ES786337"
"997","BS709793","ES786338"
"998","BS709795","ES786339"
"999","BS709795","ES786340"
"1000","BS709795","ES786341"
"1001","BS709797","ES786342"
"1002","BS709797","ES786343"
"1003","BS709797","ES786344"
"1004","BS709799","ES786345"
"1005","BS709799","ES786346"
"1006","BS709799","ES786347"
"1007","BS709803","ES786348"
"1008","BS709803","ES786349"
"1009","BS709803","ES786350"
"1010","BS709804","ES786351"
"1011","BS709804","ES786352"
"1012","BS709804","ES786353"
"1013","BS709805","ES786354"
"1014","BS709805","ES786355"
"1015","BS709805","ES786356"
"1016","BS709807","ES786357"
"1017","BS709807","ES786358"
"1018","BS709807","ES786359"
"1019","BS709811","ES786360"
"1020","BS709811","ES786361"
"1021","BS709811","ES786362"
"1022","BS709813","ES786363"
"1023","BS709813","ES786364"
"1024","BS709813","ES786365"
"1025","BS709815","ES786366"
"1026","BS709815","ES786367"
"1027","BS709815","ES786368"
"1028","BS709817","ES786369"
"1029","BS709817","ES786370"
"1030","BS709817","ES786371"
"1031","BS709821","ES786372"
"1032","BS709821","ES786373"
"1033","BS709821","ES786374"
"1034","BS709823","ES786375"
"1035","BS709823","ES786376"
"1036","BS709823","ES786377"
"1037","BS709824","ES786378"
"1038","BS709824","ES786379"
"1039","BS709824","ES786380"
"1040","BS709826","ES786381"
"1041","BS709826","ES786382"
"1042","BS709826","ES786383"
"1043","BS709830","ES786384"
"1044","BS709830","ES786385"
"1045","BS709830","ES786386"
"1046","BS709832","ES786387"
"1047","BS709832","ES786388"
"1048","BS709832","ES786389"
"1049","BS709834","ES786390"
"1050","BS709834","ES786391"
"1051","BS709834","ES786392"
"1052","BS709836","ES786393"
"1053","BS709836","ES786394"
