"","EXPSAMPLE_ACCESSION","DESCRIPTION","EXPERIMENT_ACCESSION","NAME","RESULT_SCHEMA","UPLOAD_RESULT_STATUS","WORKSPACE_ID"
"133","ES768843",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"134","ES768844",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"135","ES768845",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"136","ES768846",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"137","ES768847",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"138","ES768848",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"139","ES768849",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"140","ES768850",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"141","ES768851",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"142","ES768852",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"143","ES768853",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"144","ES768854",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"145","ES768855",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"146","ES768856",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"147","ES768857",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"148","ES768858",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"149","ES778317",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"150","ES778318",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"151","ES778319",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"152","ES778320",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"153","ES778321",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"154","ES778322",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"155","ES778323",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"156","ES778324",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"157","ES778325",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"158","ES778326",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"159","ES778327",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"160","ES778328",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"161","ES778329",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"162","ES778330",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"163","ES778331",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"164","ES778332",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"165","ES778333",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"166","ES778334",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"167","ES778335",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"168","ES778336",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"169","ES778337",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"170","ES778338",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"171","ES778339",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"172","ES778340",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"173","ES778341",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"174","ES778342",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"175","ES778343",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"176","ES778344",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"177","ES778345",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"178","ES778346",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"179","ES778347",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"180","ES778348",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"181","ES778349",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"182","ES778350",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"183","ES778351",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"184","ES778352",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"185","ES778353",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"186","ES778354",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"187","ES778355",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"188","ES778356",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"189","ES778357",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"190","ES778358",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"191","ES778359",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"192","ES778360",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"193","ES778361",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"194","ES778362",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"195","ES778363",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"196","ES778364",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"197","ES778365",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"198","ES778366",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"199","ES778367",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"200","ES778368",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"201","ES778369",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"202","ES778370",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"203","ES778371",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"204","ES778372",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"205","ES778373",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"206","ES778374",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"207","ES778375",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"208","ES778376",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"209","ES778377",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"210","ES778378",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"211","ES778379",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"212","ES778380",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"213","ES778381",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"214","ES778382",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"215","ES778383",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"216","ES778384",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
"217","ES778385",NA,"EXP13666",NA,"PUBLIC REPOSITORY","Parsed",2799
